iter	Logloss
0	0.6597053394
1	0.6315477033
2	0.605797713
3	0.5890702048
4	0.571815566
5	0.5566396038
6	0.5419518812
7	0.531012254
8	0.5176724371
9	0.5080797688
10	0.4986432106
11	0.491333817
12	0.484362114
13	0.4774351267
14	0.4704246973
15	0.4647145393
16	0.4595080075
17	0.4535045811
18	0.4495451283
19	0.4445975576
20	0.4400507176
21	0.4354264473
22	0.4313708745
23	0.4279747941
24	0.4236129026
25	0.4212170239
26	0.4174565409
27	0.4141608201
28	0.4116841842
29	0.4088572309
30	0.4060755772
31	0.4020284619
32	0.3988874791
33	0.3961792917
34	0.3935481887
35	0.3912215269
36	0.3888037438
37	0.3855819682
38	0.3836060017
39	0.3814897179
40	0.3785898064
41	0.3757417116
42	0.3732242413
43	0.3708679782
44	0.3682308389
45	0.3658028566
46	0.3633438531
47	0.3599660273
48	0.3576946907
49	0.355733108
