iter	Passed	Remaining
0	4	208
1	7	190
2	11	185
3	15	180
4	19	178
5	23	173
6	27	169
7	31	165
8	35	161
9	39	156
10	43	152
11	46	148
12	50	143
13	54	139
14	58	135
15	61	131
16	65	128
17	69	123
18	73	120
19	77	115
20	80	111
21	84	107
22	87	103
23	91	98
24	94	94
25	98	90
26	101	86
27	105	82
28	108	78
29	112	74
30	115	70
31	119	67
32	122	63
33	126	59
34	129	55
35	133	51
36	137	48
37	140	44
38	144	40
39	148	37
40	151	33
41	155	29
42	159	26
43	164	22
44	167	18
45	171	14
46	175	11
47	180	7
48	184	3
49	187	0
